"cname","isocode","isoabbr","date","ppi.all.tot.ave.2","ppi.all.nat.ave.2","ppi.all.reg.ave.2","borders.all.tot.ave.2","borders.all.nat.ave.2","borders.all.reg.ave.2","emerg.all.tot.ave.2","emerg.all.nat.ave.2","emerg.all.reg.ave.2","ind_locat.all.tot.ave.2","ind_locat.all.nat.ave.2","ind_locat.all.reg.ave.2","ind_locat.ind_mob.tot.ave.2","ind_locat.ind_mob.nat.ave.2","ind_locat.ind_mob.reg.ave.2","ind_locat.med_quar.tot.ave.2","ind_locat.med_quar.nat.ave.2","ind_locat.med_quar.reg.ave.2","ind_locat.med_stay.tot.ave.2","ind_locat.med_stay.nat.ave.2","ind_locat.med_stay.reg.ave.2","ind_locat.pub_transp.tot.ave.2","ind_locat.pub_transp.nat.ave.2","ind_locat.pub_transp.reg.ave.2","med_mandate.all.tot.ave.2","med_mandate.all.nat.ave.2","med_mandate.all.reg.ave.2","med_mandate.dist_mand.tot.ave.2","med_mandate.dist_mand.nat.ave.2","med_mandate.dist_mand.reg.ave.2","med_mandate.masks.tot.ave.2","med_mandate.masks.nat.ave.2","med_mandate.masks.reg.ave.2","places.all.tot.ave.2","places.all.nat.ave.2","places.all.reg.ave.2","places.gov_offs.tot.ave.2","places.gov_offs.nat.ave.2","places.gov_offs.reg.ave.2","places.ne_busn.tot.ave.2","places.ne_busn.nat.ave.2","places.ne_busn.reg.ave.2","places.restrts.tot.ave.2","places.restrts.nat.ave.2","places.restrts.reg.ave.2","places.venues.tot.ave.2","places.venues.nat.ave.2","places.venues.reg.ave.2","places.wfh.tot.ave.2","places.wfh.nat.ave.2","places.wfh.reg.ave.2","soc_and_schls.all.tot.ave.2","soc_and_schls.all.nat.ave.2","soc_and_schls.all.reg.ave.2","soc_and_schls.schools.tot.ave.2","soc_and_schls.schools.nat.ave.2","soc_and_schls.schools.reg.ave.2","soc_and_schls.soc_gath.tot.ave.2","soc_and_schls.soc_gath.nat.ave.2","soc_and_schls.soc_gath.reg.ave.2"
"Nepal",524,"NP",2020-04-03,0.137,0.137,0,0.625,0.625,0,0,0,0,0.5,0.5,0,1,1,0,0.5,0.5,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0,0,0,0.75,0.75,0,0,0,0,0.5,0.5,0,1,1,0,0.75,0.75,0
"Netherlands",528,"NL",2020-04-03,0.11,0.11,0,0.25,0.25,0,0,0,0,0.4,0.4,0,0.8,0.8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0,0,0,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,0.25,0.25,0
"New Zealand",554,"NZ",2020-04-03,0.137,0.137,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,0.5,0.5,0,1,1,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0,0,0,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,0.25,0.25,0
"Nicaragua",558,"NI",2020-04-03,0.11,0.11,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,1,0,0,0,0
"Norway",578,"NO",2020-04-03,0.11,0.11,0,0.625,0.625,0,1,1,0,0.1,0.1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0,0,0,0.75,0.75,0,0,0,0,0.5,0.5,0,1,1,0,1,1,0
"Panama",591,"PA",2020-04-03,0.137,0.137,0,0.625,0.625,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,0.5,0.5,0
"Paraguay",600,"PY",2020-04-03,0.137,0.137,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0
"Peru",604,"PE",2020-04-03,0.137,0.137,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0.5,0.5,0,1,1,0,1,1,0
"Poland",616,"PL",2020-04-03,0.137,0.137,0,1,1,0,0,0,0,0.5,0.5,0,1,1,0,0,0,0,1,1,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0
"Portugal",620,"PT",2020-04-03,0.137,0.137,0,1,1,0,0,0,0,0.5,0.5,0,1,1,0,0.5,0.5,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,0,0,0
"Qatar",634,"QA",2020-04-03,0.11,0.11,0,0.25,0.25,0,0,0,0,0.1,0.1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0,0,0,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,0,0,0
"Romania",642,"RO",2020-04-03,0.11,0.11,0,0.25,0.25,0,0,0,0,0.1,0.1,0,0.2,0.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0,0,0,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,0,0,0,0.5,0.5,0,1,1,0,1,1,0
"Sweden",752,"SE",2020-04-03,0.055,0.055,0,0.25,0.25,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.5,0.5,0
"Uruguay",858,"UY",2020-04-03,0.11,0.11,0,1,1,0,1,1,0,0.1,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0.5,0.5,0,1,1,0,1,1,0
"Algeria",12,"DZ",2020-04-03,0.11,0.11,0,1,1,0,1,1,0,0.4,0.4,0,0.8,0.8,0,0,0,0,0,0,0,1,1,0,0.6,0.6,0,1,1,0,1,1,0,0.25,0.25,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0
"Argentina",32,"AR",2020-04-03,0.137,0.137,0.046,1,1,0.075,1,1,0.069,0.5,0.5,0.04,1,1,0.063,1,1,0.044,1,1,0.044,0.5,0.5,0,0.006,0,0.006,0,0,0,0.009,0,0.009,0.25,0.25,0.024,1,1,0.017,1,1,0.061,1,1,0,1,1,0.038,1,1,0,0.5,0.5,0.181,1,1,0.251,1,1,0.111
"Australia",36,"AU",2020-04-03,0.11,0.11,0.089,1,1,0.394,0.655,0,0.655,0.262,0.1,0.234,0.433,0,0.433,0.197,0,0.197,1,1,0.373,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0.156,0.107,0,0,0,0.625,0.625,0.307,0.43,0,0.43,0.75,0.75,0.368,0,0,0,0.376,0.125,0.34,0.034,0,0.034,0.752,0.25,0.68
"Austria",40,"AT",2020-04-03,0.137,0.137,0,0.25,0.25,0,0,0,0,0.5,0.5,0,1,1,0,0,0,0,1,1,0,0,0,0,0.4,0.4,0,0,0,0,0.667,0.667,0,0.219,0.219,0,0,0,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0
"Bangladesh",50,"BD",2020-04-03,0.137,0.137,0,0.25,0.25,0,0,0,0,0.5,0.5,0,1,1,0,0.5,0.5,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,0.25,0.25,0
"Bolivia",68,"BO",2020-04-03,0.137,0.137,0.022,1,1,0.145,1,1,0,0.5,0.5,0.035,1,1,0.05,0,0,0,1,1,0,0.525,0.5,0.137,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0.5,0.013,1,1,0,1,1,0.025
"Brazil",76,"BR",2020-04-03,0.106,0.055,0.106,0.451,0.25,0.32,1,1,0.881,0.114,0.1,0.081,0,0,0,0.529,0.5,0.059,1,1,0.07,0.37,0,0.37,0.053,0,0.053,0.131,0,0.131,0.011,0,0.011,0.25,0.25,0.249,1,1,0.76,0.674,0,0.674,0.486,0,0.486,0.919,0,0.919,1,1,0.763,0.482,0,0.482,0.965,0,0.965,0.341,0,0.341
"Myanmar",104,"MM",2020-04-03,0.11,0.11,0,1,1,0,0,0,0,0.2,0.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0
"Canada",124,"CA",2020-04-03,0.11,0.068,0.11,0.789,0.625,0.449,1,0,1,0.301,0.1,0.301,0.558,0,0.558,0.5,0.5,0.299,1,1,0.571,0.17,0,0.17,0,0,0,0,0,0,0,0,0,0.25,0.25,0.237,1,1,0.571,0.625,0,0.625,0.875,0,0.875,0.75,0,0.75,0.478,0,0.478,0.5,0,0.5,1,0,1,0.878,0,0.878
"China",156,"CN",2020-04-03,0.132,0.11,0.119,0.043,0.043,0.043,1,1,0.956,0.431,0.104,0.414,0.828,0,0.828,0.5,0.5,0.414,0.828,0,0.828,0.043,0.043,0.043,0.497,0,0.497,0,0,0,0.828,0,0.828,0.229,0.125,0.207,0,0,0,0.828,0,0.828,0.828,0,0.828,0.828,0,0.828,1,1,0,0.5,0.5,0.414,1,1,0.043,0.828,0,0.828
"Colombia",170,"CO",2020-04-03,0.137,0.137,0.096,1,1,0,1,1,0,0.5,0.5,0.336,1,1,0.673,0.093,0,0.093,1,1,0,0.077,0,0.077,0.002,0,0.002,0,0,0,0.004,0,0.004,0.25,0.25,0.079,0.029,0,0.029,1,1,0.294,1,1,0.198,1,1,0.025,0.041,0,0.041,0.5,0.5,0.088,1,1,0.054,1,1,0.121
"Czech Republic",203,"CZ",2020-04-03,0.11,0.11,0,0.625,0.625,0,1,1,0,0.1,0.1,0,0.2,0.2,0,0,0,0,1,1,0,0,0,0,0.4,0.4,0,0,0,0,0.667,0.667,0,0.219,0.219,0,0,0,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,0,0,0
"Ecuador",218,"EC",2020-04-03,0.137,0.137,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,0,0,0,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,0.5,0.5,0
"Germany",276,"DE",2020-04-03,0.111,0.11,0.111,1,1,0,1,1,0,0.167,0.15,0.049,0.239,0.2,0.083,0,0,0,1,1,0,0.75,0.75,0.118,0.053,0,0.053,0,0,0,0.089,0,0.089,0.25,0.25,0.135,1,1,0.216,0.625,0.625,0.269,0.875,0.875,0.198,0.75,0.75,0.485,0,0,0,0.5,0.5,0.5,1,0,1,1,1,0.244
"Hungary",348,"HU",2020-04-03,0.11,0.11,0,0.25,0.25,0,1,1,0,0.1,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0,0,0,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,0,0,0,0.5,0.5,0,1,1,0,0,0,0
"India",356,"IN",2020-04-03,0.137,0.137,0.128,1,1,0.531,0.022,0,0.022,0.5,0.5,0.467,1,1,0.934,0.55,0.5,0.462,1,1,0.465,0.775,0.75,0.752,0.219,0.2,0.044,0.53,0.5,0.074,0.024,0,0.024,0.25,0.25,0.238,1,1,0.76,0.658,0.625,0.553,0.888,0.875,0.709,0.775,0.75,0.772,1,1,0.371,0.5,0.5,0.499,1,1,0.996,0.958,0.75,0.899
"Indonesia",360,"ID",2020-04-03,0.11,0.11,0.05,0.63,0.625,0.012,1,1,0.57,0.2,0.2,0.004,0.007,0,0.007,1,1,0,0,0,0,0,0,0,0.4,0.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.172,0.343,0,0.343,1,1,0.01
"Italy",380,"IT",2020-04-03,0.137,0.137,0.023,0.375,0.25,0.167,1,1,0.167,0.5,0.5,0.083,1,1,0.167,0.5,0.5,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0.036,0,0,0,0.625,0.625,0.104,0.875,0.875,0.146,0.75,0.75,0.125,0.167,0,0.167,0.5,0.5,0.083,1,1,0.167,0,0,0
"Japan",392,"JP",2020-04-03,0.11,0.11,0.01,0.25,0.25,0,0.042,0,0.042,0.2,0.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0.5,0.048,1,1,0.042,0.5,0.5,0.074
"South Korea",410,"KR",2020-04-03,0.112,0.112,0,0.25,0.25,0,0,0,0,0.231,0.231,0,0.102,0.102,0,1,1,0,0,0,0,0,0,0,0.4,0.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,1,0,0.048,0.048,0
"Malaysia",458,"MY",2020-04-03,0.137,0.137,0.016,1,1,0.072,0,0,0,0.5,0.5,0.057,1,1,0,1,1,0.287,1,1,0,1,1,0,0.2,0.2,0,0.5,0.5,0,0,0,0,0.25,0.25,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0.5,0.5,0,1,1,0,1,1,0
"Mexico",484,"MX",2020-04-03,0.11,0.11,0.059,0.382,0.25,0.188,0.024,0,0.024,0.107,0.1,0.018,0.006,0,0.006,0.036,0,0.036,1,1,0,0.039,0,0.039,0.41,0.4,0.066,1,1,0.087,0.052,0,0.052,0.25,0.25,0.152,1,1,0.364,1,1,0.235,1,1,0.07,1,1,0.668,1,1,0.345,0.5,0.5,0.079,1,1,0.033,0.557,0.5,0.124
"Nigeria",566,"NG",2020-04-03,0.115,0.013,0.113,0.865,0.098,0.823,0.027,0,0.027,0.219,0.042,0.184,0.381,0.083,0.298,0.351,0.083,0.3,0.419,0.083,0.401,0.394,0.083,0.343,0.254,0.05,0.229,0.485,0.065,0.485,0.199,0.083,0.116,0.211,0.021,0.211,0.649,0.083,0.631,0.717,0.083,0.717,0.62,0.083,0.601,0.697,0.083,0.678,0.772,0.083,0.753,0.485,0.032,0.485,0.942,0.065,0.942,0.685,0.065,0.669
"Pakistan",586,"PK",2020-04-03,0.132,0.11,0.132,1,1,0.547,0.742,0,0.742,0.438,0.15,0.438,0.824,0,0.824,0.5,0.5,0.258,1,1,0.742,0.75,0.75,0.75,0.207,0,0.207,0,0,0,0.345,0,0.345,0.25,0.25,0.247,1,1,0.937,0.625,0.625,0.61,0.854,0,0.854,0.75,0.75,0.607,1,1,0.928,0.5,0.5,0.49,1,1,0.972,0.94,0.25,0.935
"Philippines",608,"PH",2020-04-03,0.137,0.137,0.03,1,1,0.22,1,1,0.22,0.5,0.5,0.104,1,1,0.207,1,1,0.162,0,0,0,1,1,0.175,0.363,0.266,0.097,0.605,0.443,0.162,0.605,0.443,0.162,0.25,0.25,0.04,0.605,0.443,0.162,1,1,0.162,1,1,0.162,1,1,0.162,1,1,0.162,0.5,0.5,0.081,0.605,0.443,0.162,1,1,0.162
"Russia",643,"RU",2020-04-03,0.112,0.062,0.111,0.303,0.292,0.052,0.154,0,0.154,0.356,0.053,0.348,0.703,0.1,0.688,0.573,0.087,0.558,0.886,0.079,0.878,0.234,0.045,0.225,0.284,0.048,0.276,0.62,0.081,0.598,0.183,0.061,0.18,0.25,0.25,0.234,0.387,0.103,0.355,0.812,0.112,0.782,1,0.997,0.892,1,0.998,0.915,0.476,0.114,0.453,0.467,0.058,0.459,0.825,0.116,0.801,0.749,0.071,0.742
"Saudi Arabia",682,"SA",2020-04-03,0.137,0.137,0.043,1,1,0.255,0,0,0,0.5,0.5,0.15,1,1,0.255,0.5,0.5,0,1,1,0,0.75,0.75,0.305,0,0,0,0,0,0,0,0,0,0.25,0.25,0.102,1,1,0.406,0.625,0.625,0.254,0.875,0.875,0.355,0.75,0.75,0.305,0,0,0,0.5,0.5,0.127,1,1,0.255,0,0,0
"Vietnam",704,"VN",2020-04-03,0.11,0.11,0.001,0.625,0.625,0,0,0,0,0.4,0.4,0.002,0.8,0.8,0,1,1,0.012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0.5,0.5,0,1,1,0,1,1,0
"South Africa",710,"ZA",2020-04-03,0.11,0.11,0.032,1,1,0.032,1,1,0,0.4,0.4,0.033,0.8,0.8,0,0.582,0.5,0.164,1,1,0.113,0.75,0.75,0,0.4,0.4,0,0,0,0,0.667,0.667,0,0.25,0.25,0.131,1,1,0.284,0.758,0.625,0.354,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0.017,1,1,0.034,0.25,0.25,0
"Spain",724,"ES",2020-04-03,0.137,0.137,0.078,1,1,0.225,1,1,0.047,0.5,0.5,0.065,1,1,0.13,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,0,0,0,0.5,0.5,0.349,1,1,0.697,0,0,0
"Switzerland",756,"CH",2020-04-03,0.11,0.11,0.01,0.25,0.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0.047,1,1,0.093,0.273,0.25,0.047
"Thailand",764,"TH",2020-04-03,0.056,0.055,0.007,0,0,0,1,1,0,0.206,0.2,0.009,0.215,0.2,0.019,1,1,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0.026,0,0,0,0.104,0,0.104,0.104,0,0.104,0.104,0,0.104,0,0,0,0.009,0,0.009,0.019,0,0.019,0,0,0
"United Arab Emirates",784,"AE",2020-04-03,0.121,0.11,0.055,0.553,0.25,0.404,0,0,0,0.291,0.15,0.202,0.523,0.2,0.404,0.5,0.5,0,1,1,0,0.75,0.75,0.303,0,0,0,0,0,0,0,0,0,0.194,0.156,0.101,0.404,0,0.404,0.625,0.625,0.252,0.353,0,0.353,0.75,0.75,0.303,1,1,0.404,0.5,0.5,0,1,1,0,0,0,0
"Tunisia",788,"TN",2020-04-03,0.11,0.11,0,1,1,0,0,0,0,0.4,0.4,0,0.8,0.8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0
"Turkey",792,"TR",2020-04-03,0.137,0.137,0.002,0.253,0.25,0.004,0,0,0,0.5,0.5,0.006,1,1,0,0.002,0,0.002,0,0,0,0.027,0,0.027,0,0,0,0,0,0,0,0,0,0.219,0.219,0,0,0,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,0,0,0,0.5,0.5,0,1,1,0,0,0,0
"Egypt",818,"EG",2020-04-03,0.11,0.11,0.004,0.625,0.625,0,0,0,0,0.4,0.4,0.011,0.8,0.8,0,0,0,0,0,0,0,0.75,0.75,0.057,0,0,0,0,0,0,0,0,0,0.221,0.219,0.019,0.075,0,0.075,0.625,0.625,0.047,0.875,0.875,0.066,0.75,0.75,0.057,0,0,0,0.25,0.25,0,0.5,0.5,0,0,0,0
"United Kingdom",826,"GB",2020-04-03,0.11,0.11,0.054,0,0,0,1,1,0.082,0.403,0.4,0.14,0.806,0.8,0.028,0,0,0,1,1,0.028,0.632,0,0.632,0,0,0,0,0,0,0,0,0,0.25,0.25,0.235,1,1,0.842,0.625,0.625,0.069,0.875,0.875,0.097,0.75,0.75,0.083,0.028,0,0.028,0.5,0.5,0.024,1,1,0.028,1,1,0.049
"United States of America",840,"US",2020-04-03,0.11,0.041,0.11,0.485,0.25,0.315,1,1,0.989,0.364,0,0.364,0.725,0,0.725,0.146,0,0.146,0.324,0,0.324,0.129,0,0.129,0.037,0,0.037,0.001,0,0.001,0.061,0,0.061,0.227,0,0.227,0.319,0,0.319,0.582,0,0.582,0.847,0,0.847,0.709,0,0.709,0.264,0,0.264,0.493,0,0.493,0.965,0,0.965,0.539,0,0.539
"Venezuela",862,"VE",2020-04-03,0.137,0.137,0,0.25,0.25,0,1,1,0,0.5,0.5,0,1,1,0,0,0,0,1,1,0,1,1,0,0.6,0.6,0,0,0,0,1,1,0,0.25,0.25,0,0,0,0,1,1,0,1,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,1,1,0,1,1,0
"Yemen",887,"YE",2020-04-03,0.11,0.11,0,0.625,0.625,0,0,0,0,0.1,0.1,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,1,0,0,0,0
"Belgium",56,"BE",2020-04-04,0.137,0.137,0,0.625,0.625,0,0,0,0,0.5,0.5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0,0,0,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,0.25,0.25,0
"Bhutan",64,"BT",2020-04-04,0.11,0.11,0,0.625,0.625,0,0,0,0,0.1,0.1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,1,0,0,0,0
"Sri Lanka",144,"LK",2020-04-04,0.11,0.11,0,0.625,0.625,0,0,0,0,0.4,0.4,0,0.8,0.8,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0,0,0,0,0,0,1,1,0,0.5,0.5,0,1,1,0,0,0,0
"Chile",152,"CL",2020-04-04,0.11,0.11,0,1,1,0,1,1,0,0.4,0.4,0,0.8,0.8,0,1,1,0,1,1,0,0.5,0.5,0,0.2,0.2,0,0.5,0.5,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0.25,0,1,1,0,1,1,0,1,1,0,0.25,0.25,0,0.5,0.5,0,0.5,0.5,0
"Taiwan",158,"TW",2020-04-04,0.11,0.11,0,0.25,0.25,0,1,1,0,0.2,0.2,0,0,0,0,1,1,0,1,1,0,0,0,0,0.6,0.6,0,1,1,0,1,1,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0.5,0,1,1,0,0.25,0.25,0
"Costa Rica",188,"CR",2020-04-04,0.11,0.11,0,0.625,0.625,0,1,1,0,0.2,0.2,0,0.2,0.2,0,1,1,0,1,1,0,0.5,0.5,0,0.4,0.4,0,1,1,0,0,0,0,0.25,0.25,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,0,0,0
"Croatia",191,"HR",2020-04-04,0.11,0.11,0,1,1,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,1,1,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0,0,0,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0
"Denmark",208,"DK",2020-04-04,0.11,0.11,0,0.625,0.625,0,0,0,0,0.4,0.4,0,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,0.75,0.75,0
"El Salvador",222,"SV",2020-04-04,0.137,0.137,0,0.625,0.625,0,1,1,0,0.5,0.5,0,1,1,0,0,0,0,1,1,0,0.5,0.5,0,0.4,0.4,0,0,0,0,0.667,0.667,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,0.5,0.5,0
"Finland",246,"FI",2020-04-04,0.11,0.11,0,1,1,0,1,1,0,0.1,0.1,0,0,0,0,0.5,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,0.75,0.75,0
"France",250,"FR",2020-04-04,0.137,0.137,0,1,1,0,0,0,0,0.5,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,0,0,0,0.5,0.5,0,1,1,0,0.25,0.25,0
"Guatemala",320,"GT",2020-04-04,0.11,0.11,0,0.25,0.25,0,1,1,0,0.1,0.1,0,0.2,0.2,0,0,0,0,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0
"Honduras",340,"HN",2020-04-04,0.11,0.11,0,0.625,0.625,0,1,1,0,0.4,0.4,0,0.8,0.8,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0
"Ireland",372,"IE",2020-04-04,0.137,0.137,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.219,0,0,0,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0
"Israel",376,"IL",2020-04-04,0.11,0.11,0,0.25,0.25,0,1,1,0,0.4,0.4,0,0.8,0.8,0,1,1,0,1,1,0,1,1,0,0.4,0.4,0,1,1,0,0,0,0,0.25,0.25,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0.5,0.5,0,1,1,0,1,1,0
"Jordan",400,"JO",2020-04-04,0.137,0.137,0,0.625,0.625,0,1,1,0,0.5,0.5,0,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,1,1,0,0.625,0.625,0,0.875,0.875,0,0.75,0.75,0,0,0,0,0.5,0.5,0,1,1,0,0.75,0.75,0
